add,KYcursmk,KYobesity,KYpoverty,KYCRCScreen,
Barren River,16.43,44.17,12.37,61.00,
Big Sandy,19.77,42.20,20.32,56.45,
Bluegrass,16.97,31.40,10.02,66.57,
Buffalo Trace,16.77,36.64,16.14,63.99,
Cumberland Valley,16.52,42.43,21.40,61.22,
FIVCO,24.62,52.19,13.90,65.09,
Gateway,18.53,34.63,14.77,63.06,
Green River,20.32,39.20,11.63,68.21,
KIPDA,14.36,36.98,9.30,63.14,
Kentucky River,24.92,46.95,22.41,66.24,
Lake Cumberland,21.22,35.16,16.88,57.75,
Lincoln Trail,17.51,36.87,10.05,62.83,
Northern Kentucky,16.27,35.68,7.03,64.15,
Pennyrile,21.89,39.69,13.03,68.15,
Purchase,16.55,42.90,11.79,70.59,
