"Abbr","Name","ID","L2_ID","L2_ID_Name","regID","regName","Xoffset","Yoffset","Scale","Rotate","Alt_Abbr","Alias","Key","DoAdj","MapL","MapX","MapY"
"AL","Alabama","01","2","South","2","South",NA,NA,NA,NA,"AL","Alabama","AL",FALSE,NA,NA,NA
"AK","Alaska","02","0","Offshore","0","Offshore",36.5,-36,0.3,0,"AK","Alaska","AK",TRUE,"AK",-2324845.5061373,-1126175.31537335
"AZ","Arizona","04","4","West","4","West",NA,NA,NA,NA,"AZ","Arizona","AZ",FALSE,NA,NA,NA
"AR","Arkansas","05","2","South","2","South",NA,NA,NA,NA,"AR","Arkansas","AR",FALSE,NA,NA,NA
"CA","California","06","4","West","4","West",NA,NA,NA,NA,"CA","California","CA",FALSE,NA,NA,NA
"CO","Colorado","08","4","West","4","West",NA,NA,NA,NA,"CO","Colorado","CO",FALSE,NA,NA,NA
"CT","Connecticut","09","1","Northeast","1","Northeast",NA,NA,NA,NA,"CT","Connecticut","CT",FALSE,NA,NA,NA
"DE","Delaware","10","2","South","2","South",NA,NA,NA,NA,"DE","Delaware","DE",FALSE,NA,NA,NA
"DC","District of Columbia","11","2","South","2","South",3.8,-2.15,4,0,"DC","District of Columbia","DC",TRUE,"DC",1807029.26263931,-186318.504027669
"FL","Florida","12","2","South","2","South",NA,NA,NA,NA,"FL","Florida","FL",FALSE,NA,NA,NA
"GA","Georgia","13","2","South","2","South",NA,NA,NA,NA,"GA","Georgia","GA",FALSE,NA,NA,NA
"HI","Hawaii","15","0","Offshore","0","Offshore",52,6,1,0,"HI","Hawaii","HI",TRUE,"HI",-972556.539272243,-1423583.28401923
"ID","Idaho","16","4","West","4","West",NA,NA,NA,NA,"ID","Idaho","ID",FALSE,NA,NA,NA
"IL","Illinois","17","3","Midwest","3","Midwest",NA,NA,NA,NA,"IL","Illinois","IL",FALSE,NA,NA,NA
"IN","Indiana","18","3","Midwest","3","Midwest",NA,NA,NA,NA,"IN","Indiana","IN",FALSE,NA,NA,NA
"IA","Iowa","19","3","Midwest","3","Midwest",NA,NA,NA,NA,"IA","Iowa","IA",FALSE,NA,NA,NA
"KS","Kansas","20","3","Midwest","3","Midwest",NA,NA,NA,NA,"KS","Kansas","KS",FALSE,NA,NA,NA
"KY","Kentucky","21","2","South","2","South",NA,NA,NA,NA,"KY","Kentucky","KY",FALSE,NA,NA,NA
"LA","Louisiana","22","2","South","2","South",NA,NA,NA,NA,"LA","Louisiana","LA",FALSE,NA,NA,NA
"ME","Maine","23","1","Northeast","1","Northeast",NA,NA,NA,NA,"ME","Maine","ME",FALSE,NA,NA,NA
