ProvinceID,Province,Administration,Buddhism,Daoism,Islam,Christianity,Total
11,Beijing,0,2,0,22,5,29
12,Tianjin,1,6,0,30,25,62
13,Hebei,0,98,31,246,399,774
14,Shanxi,3,280,25,29,411,748
15,Neimenggu,4,109,2,126,304,545
21,Liaoning,2,312,47,89,821,1271
22,Jilin,0,71,8,56,745,880
23,Heilongjiang,1,100,9,64,473,647
31,Shanghai,1,73,21,7,175,277
32,Jiangsu,7,415,62,35,1039,1558
33,Zhejiang,2,2956,1868,10,2830,7666
34,Anhui,3,675,40,98,2132,2948
35,Fujian,10,2745,1030,6,1804,5595
36,Jiangxi,9,1133,288,5,633,2068
37,Shandong,5,14,7,122,306,454
41,Henan,10,187,128,444,1988,2757
42,Hubei,9,756,205,31,198,1199
43,Hunan,5,763,178,36,160,1142
44,Guangdong,10,617,81,3,440,1151
45,Guangxi,1,61,0,14,101,177
46,Hainan,0,2,0,0,5,7
50,Chongqing,1,102,11,3,88,205
51,Sichuan,9,1412,124,116,196,1857
52,Guizhou,1,178,15,80,158,432
53,Yunnan,1,701,102,525,682,2011
54,Xizang,7,1320,0,2,1,1330
61,Shaanxi,2,186,131,69,464,852
62,Gansu,6,530,400,3680,202,4818
63,Qinghai,1,627,42,1266,16,1952
64,Ningxia,0,211,68,3416,22,3717
65,Xinjiang,8,47,1,23678,105,23839
