CountyName,StateName,Fips,PopTotal,PopMarginOfErr,Pop25Up,Pop25MarginErr,NumLessHS,NumHS,NumSomeColl,NumBachDegree,NumLess125Pov,NumLess150Pov,PctLessHS,PctHS,PctSomeColl,PctBachDegree,PctLess125Pov,PctLess150Pov
Allegany, Maryland,24001,62610,538,44371,387,3672,17411,13856,9432,13376,16509,0.083,0.392,0.312,0.213,0.214,0.264
Anne Arundel, Maryland,24003,558904,1489,388227,912,24922,86242,106991,170072,42915,54604,0.064,0.222,0.276,0.438,0.077,0.098
Baltimore City, Maryland,24510,580311,1057,414275,790,59018,116928,100536,137793,144814,171279,0.142,0.282,0.243,0.333,0.250,0.295
Baltimore, Maryland,24005,807679,1089,569639,642,47212,142942,151615,227870,94930,121019,0.083,0.251,0.266,0.400,0.118,0.150
Calvert, Maryland,24009,91429,181,62803,214,3545,18141,19532,21585,5408,7340,0.056,0.289,0.311,0.344,0.059,0.080
Caroline, Maryland,24011,32774,190,22449,141,3493,8816,5857,4283,5893,7747,0.156,0.393,0.261,0.191,0.180,0.236
Carroll, Maryland,24013,164625,532,115603,359,7321,33184,31921,43177,10332,13625,0.063,0.287,0.276,0.373,0.063,0.083
Cecil, Maryland,24015,101676,237,70614,227,6935,24828,20952,17899,13100,16632,0.098,0.352,0.297,0.253,0.129,0.164
Charles, Maryland,24017,159247,470,107469,325,6738,33181,34993,32557,14121,17280,0.063,0.309,0.326,0.303,0.089,0.109
Dorchester, Maryland,24019,31535,160,22798,162,2905,8740,6570,4583,6543,8082,0.127,0.383,0.288,0.201,0.207,0.256
Frederick, Maryland,24021,250963,619,172883,346,12606,40973,46933,72371,21720,26197,0.073,0.237,0.271,0.419,0.087,0.104
Garrett, Maryland,24023,28392,183,21212,144,2083,8953,5139,5037,4530,5618,0.098,0.422,0.242,0.237,0.160,0.198
Harford, Maryland,24025,251593,430,175405,276,11925,45416,53047,65017,22838,29402,0.068,0.259,0.302,0.371,0.091,0.117
Howard, Maryland,24027,319424,885,216757,529,9418,28491,42161,136687,21700,27833,0.043,0.131,0.195,0.631,0.068,0.087
Kent, Maryland,24029,17777,161,13578,127,1401,4196,2953,5028,2725,3416,0.103,0.309,0.217,0.370,0.153,0.192
Montgomery, Maryland,24031,1038784,926,717145,547,61751,94905,134097,426392,94182,121070,0.086,0.132,0.187,0.595,0.091,0.117
Prince George's, Maryland,24033,889025,1323,615938,441,78506,155036,169630,212766,99420,126596,0.127,0.252,0.275,0.345,0.112,0.142
Queen Anne's, Maryland,24035,49566,211,35355,195,2288,10207,9817,13043,4016,5115,0.065,0.289,0.278,0.369,0.081,0.103
Somerset, Maryland,24039,19575,1067,13425,817,1758,4601,4449,2617,5268,6134,0.131,0.343,0.331,0.195,0.269,0.313
St. Mary's, Maryland,24037,110128,515,74249,311,6990,22619,20684,23956,11138,14474,0.094,0.305,0.279,0.323,0.101,0.131
Talbot, Maryland,24041,36599,134,27678,197,2359,6301,7894,11124,3958,5360,0.085,0.228,0.285,0.402,0.108,0.146
Washington, Maryland,24043,141836,833,98509,744,10769,34675,29724,23341,21569,27066,0.109,0.352,0.302,0.237,0.152,0.191
Wicomico, Maryland,24045,99179,385,64242,238,7693,21182,17164,18203,20403,24411,0.120,0.330,0.267,0.283,0.206,0.246
Worcester, Maryland,24047,51204,209,39022,248,2873,11988,12459,11702,6702,8662,0.074,0.307,0.319,0.300,0.131,0.169
