seqno,Postal,Feb_24_2020,Mar_25_2020,Apr_24_2020,May_24_2020,Jun_23_2020,Jul_23_2020,Aug_22_2020,Sep_21_2020,Oct_21_2020,Nov_20_2020,Dec_20_2020,Jan_19_2021,Feb_18_2021,Mar_20_2021,Apr_19_2021,May_19_2021,Jun_18_2021,Jul_18_2021,Aug_17_2021,Sep_16_2021,Oct_16_2021,Nov_15_2021,Dec_15_2021,Jan_14_2022,Feb_13_2022,Mar_15_2022,Apr_14_2022
1,AK,0,5.604576615,46.20358283,55.63567518,112.9117142,342.2892645,699.478501,1018.529277,1655.127162,3529.106207,5908.727419,7049.190412,7730.078122,8294.226603,8948.731794,9440.84096,9537.895823,9769.597222,10658.53775,12848.15015,16646.27603,18920.64056,19925.22675,23498.34938,30068.14345,31323.84201,32021.40675
2,AL,0,7.872433938,122.899707,295.8689097,634.2204098,1513.526412,2335.86944,2973.087901,3582.834423,4657.645999,6576.35802,8699.304636,9878.619714,10423.79596,10656.58342,11031.42141,11189.80826,11425.26745,13081.00755,15538.1655,16574.8182,17130.76296,17435.11615,20489.17183,25689.01643,26303.86167,26465.43012
3,AR,0,9.709046711,86.98378026,191.1986332,529.988031,1158.789636,1835.208648,2474.547717,3300.313738,4622.964248,6587.505352,8972.053851,10327.70849,10781.25021,10958.33262,11152.28159,11342.65181,11868.86226,13882.77701,15767.2599,16598.22838,17056.111,17711.75331,21602.99343,25816.18952,26533.66488,26745.50766
4,AZ,0.013738685,5.509212681,83.0228734,224.4763741,801.6934853,2101.249437,2718.501076,2945.587801,3213.643284,4007.519457,6231.826296,9420.602559,11021.14562,11479.33077,11739.06061,12015.90885,12209.58309,12448.84229,13333.70977,14546.14872,15517.63862,16722.6312,18189.97771,21476.18873,26677.80599,27303.13598,27708.13867
5,CA,0.655493365,30.61331173,132.8601532,290.5328814,605.2380298,1325.756842,1776.673006,2035.013317,2301.475166,2938.275581,5179.645296,7919.675894,8802.281259,9024.954126,9188.030246,9302.055721,9369.753759,9572.164543,10296.27971,11099.91711,11615.90934,12017.07887,12417.76753,17210.93242,20913.01216,21370.12134,21577.97095
6,CO,0,18.54573643,210.8622448,417.3137994,536.1419589,734.4320004,952.7090667,1135.197029,1542.456539,3273.982346,5363.416555,6560.814734,7247.632119,7785.198002,8526.211307,9278.00823,9604.972341,9824.169748,10305.6643,11226.66502,12188.29965,13807.07502,15023.07104,19646.22098,22479.48161,23102.46554,23673.1116
7,CT,0,24.54220376,656.7213243,1129.081614,1279.981107,1346.259081,1439.014587,1567.391349,1815.225534,2832.955664,4547.179512,6489.80012,7600.173562,8292.40395,9263.574012,9670.077051,9746.368245,9802.829337,10183.61215,10700.42889,11100.81741,11458.9653,12633.76553,17814.61072,19918.31233,20418.35622,20818.94108
8,DC,0,32.73118347,499.8944384,1149.133757,1430.253532,1650.586823,1917.678948,2122.284268,2337.658289,2806.663559,3769.187062,4854.275387,5568.693686,6117.614053,6622.751148,6891.118514,6977.409816,7035.362431,7487.506181,8310.178265,8923.285757,9298.34828,9899.695217,17268.32061,18819.72203,19075.19529,19075.19529
9,DE,0,12.22062019,353.0629598,898.7804026,1112.179132,1413.176088,1696.715015,1970.395291,2391.133786,3154.460424,5185.650733,7306.185072,8591.609466,9389.852161,10406.73099,11060.79091,11221.81555,11300.89015,11776.98087,12975.21781,14275.1221,15151.10437,16612.23869,22693.589,25889.33253,26430.22334,26591.55606
10,FL,0,9.195568416,142.1611597,236.4355239,481.2378511,1813.203132,2778.509673,3183.943448,3541.439212,4289.134372,5580.727616,7383.394256,8596.534169,9315.91629,10101.79983,10692.21585,10759.14097,11546.70997,13396.25772,15873.00841,16848.28807,17078.5032,17276.0566,23243.90135,26691.8065,27119.83111,27297.16823
11,GA,0,11.51880263,198.7111185,362.1217691,600.9932919,1333.817067,2195.193692,2707.945233,3086.342138,3594.318508,4587.987123,6235.185318,7262.515584,7676.19412,7947.917305,8150.43349,8238.279665,8330.684385,9155.281842,10770.5608,11433.09445,11673.36933,11934.55323,14909.6066,17132.274,17409.98734,17625.76475
12,HI,0,6.144623243,41.88231705,44.70743118,56.99667767,103.540433,447.2861954,807.3469918,1001.8561,1184.14659,1318.268883,1687.935068,1850.449758,1963.736835,2149.417461,2316.664218,2535.751819,2645.366248,3544.105682,5054.835465,5619.293269,5867.69143,6134.52346,11006.57404,15879.47216,16374.64404,16745.65215
13,IA,0,4.59577759,140.6624893,544.9007471,834.4030402,1283.553138,1758.471286,2554.99878,3472.759717,6417.955862,8452.649228,9676.774208,10464.96591,10914.65483,11382.60007,11694.00362,11790.73681,11915.83705,12274.14923,13581.25176,14880.93767,15850.04453,17522.93927,19849.79731,23306.96308,23968.31132,24097.40513
14,ID,0,6.826836181,104.3051036,146.9448509,246.1578062,936.3397526,1659.648642,2120.683915,3113.820706,5022.480995,7272.147348,8772.932154,9436.646121,9893.484568,10364.87201,10671.79985,10856.12443,11015.6038,11768.68217,13403.31773,15448.68262,16816.67986,17516.99015,19008.20619,22497.67076,24617.34744,24901.55646
15,IL,0.015783051,14.70191222,311.2417702,868.4623938,1087.24705,1316.977252,1722.222875,2175.512107,2802.793695,5003.905911,7102.933351,8494.398713,9222.052616,9630.194429,10291.40958,10813.31562,10958.16458,11064.13987,11603.4783,12520.78924,13164.8561,13766.2377,15162.24858,20434.47426,23666.01454,24064.93905,24400.4078
16,IN,0,7.100184946,202.2661473,465.9533506,636.7439918,885.2950268,1267.279035,1699.766451,2304.084285,4237.02794,6944.768137,8894.021421,9739.389048,10110.9753,10581.16202,11005.049,11204.53746,11345.33799,12027.66874,13754.29112,14856.03781,15736.75782,17451.67529,21240.45578,24784.68095,25130.95608,25179.20169
17,KS,0,4.290646322,95.18369802,310.7114441,430.6779153,831.8361838,1281.049691,1876.900327,2608.575663,4689.882381,6983.215678,9009.567798,10014.64312,10345.43479,10513.4565,10729.7394,10865.25517,11100.24529,12026.99057,13513.68236,14529.22685,15439.90795,16939.19708,21325.3017,25958.10132,26389.87764,26463.91704
18,KY,0,3.514133644,82.66048119,191.1061978,316.1601129,562.7761924,963.8798542,1385.777339,2036.742617,3406.829461,5423.718343,7406.585039,8790.773183,9415.080289,9793.330891,10162.67305,10370.67843,10513.32539,11688.41139,14427.06304,16202.61823,17076.69742,18369.87622,21831.00688,27330.8051,29001.18249,29476.48586
19,LA,0,38.37554428,560.8981598,795.7762809,1109.685652,2186.395009,3042.401965,3468.297369,3810.558179,4653.85216,6146.110152,7995.105827,9066.889176,9452.128875,9743.107567,10037.97974,10262.10239,10659.77542,13581.67301,15317.02631,16161.15922,16449.72868,16734.51222,21421.12557,26016.05922,26446.55797,26537.44175
20,MA,0.014508517,24.31627523,728.0083882,1340.108231,1554.602153,1658.700765,1799.636504,1941.805466,2213.129251,2954.993273,4622.674811,6568.977917,7738.045236,8366.191498,9162.564021,9523.013628,9606.147433,9645.81372,10001.22887,10668.34501,11244.072,11872.87115,13356.19295,19102.69753,22002.23924,22434.01272,22973.35235
21,MD,0,6.914027868,274.8408781,779.8957272,1070.748038,1337.086978,1712.346667,1994.283521,2269.984518,2929.132868,4148.549047,5461.519631,6185.673076,6600.018526,7222.661471,7555.229519,7635.782906,7678.160273,7965.505948,8522.763362,9092.095513,9466.958225,9803.347183,14571.94228,16049.59244,16657.18331,16850.06484
22,ME,0,10.41502382,71.71487831,147.8933383,222.6583307,278.155529,321.1546988,379.8507973,448.1435964,753.0062222,1409.301509,2599.887518,3205.595546,3592.588074,4280.797969,4933.373605,5114.743805,5168.381178,5422.954117,6144.26891,7269.463448,8265.809262,9885.19668,11864.05121,14249.7612,17306.27312,17789.15826
23,MI,0,22.81999232,356.1681117,512.413465,639.4304034,801.5935344,1009.747111,1237.746771,1613.17019,3093.876282,4758.233747,5603.234331,6083.956144,6644.562949,8555.634671,9545.695908,9704.034012,9759.597038,10048.75708,10750.82982,11914.51925,13410.7858,15699.83429,19501.12032,22845.05526,23321.17102,23596.72317
24,MN,0,5.088984529,52.36157253,364.4564042,592.0776391,861.5810393,1218.980246,1608.668793,2222.414512,4545.881717,7037.285412,7940.766348,8437.85552,8933.065136,9879.722649,10562.24945,10706.54965,10763.85835,11150.58571,12030.18211,13385.14641,15006.52879,17219.1377,20121.11783,24455.37227,25213.01035,25462.37059
25,MO,0,17.80876289,119.5288971,206.3567996,347.6863598,783.1619369,1300.968419,1997.905311,2894.339453,4951.797398,6749.30932,8319.087409,8962.060329,9242.112494,9515.256228,9760.114497,9993.616218,10642.89471,11953.49257,12944.68953,13694.31951,14219.89798,15465.94111,18922.6171,22378.08737,22890.85917,23001.83399
26,MS,0,12.56657513,182.4169422,445.1726039,769.3499217,1614.603301,2595.568972,3143.323805,3799.574551,4718.480157,6529.679798,8572.319464,9728.410775,10170.15613,10390.0376,10614.08552,10750.40262,10980.76743,13181.7661,15828.91179,16725.97709,17111.87847,17500.26628,21323.79797,26098.0549,26610.42844,26746.74554
27,MT,0,6.081712011,41.54277128,45.19179848,69.51864653,272.2735685,596.3820363,975.787301,2312.079777,4985.413248,7211.319844,8407.920073,9179.54898,9634.741733,10030.33371,10384.9443,10588.44774,10728.42068,11316.28832,12958.06987,15407.22208,17325.95544,18188.71646,19843.03569,24011.53467,25437.93005,25548.52364
