seqno,Postal,PctWoreMask0920,PctMaskStderr,PctMaskSample_size,Feb_24_2020,Mar_25_2020,Apr_24_2020,May_24_2020,Jun_23_2020,Jul_23_2020,Aug_22_2020,Sep_21_2020,Oct_21_2020,Nov_20_2020,Dec_20_2020,Jan_19_2021,Feb_18_2021,Mar_20_2021,Apr_19_2021,May_19_2021,Jun_18_2021,Jul_18_2021,Aug_17_2021,Sep_16_2021,Oct_16_2021,Nov_15_2021,Dec_15_2021,Jan_14_2022,Feb_13_2022,Mar_15_2022,Apr_14_2022
1,AK,79.44,2.66,230.00,0.00,0.06,0.46,0.56,1.13,3.42,6.99,10.19,16.55,35.29,59.09,70.49,77.30,82.94,89.49,94.41,95.38,97.70,106.59,128.48,166.46,189.21,199.25,234.98,300.68,313.24,320.21
2,AL,84.73,1.14,1004.03,0.00,0.08,1.23,2.96,6.34,15.14,23.36,29.73,35.83,46.58,65.76,86.99,98.79,104.24,106.57,110.31,111.90,114.25,130.81,155.38,165.75,171.31,174.35,204.89,256.89,263.04,264.65
3,AR,83.90,1.48,617.00,0.00,0.10,0.87,1.91,5.30,11.59,18.35,24.75,33.00,46.23,65.88,89.72,103.28,107.81,109.58,111.52,113.43,118.69,138.83,157.67,165.98,170.56,177.12,216.03,258.16,265.34,267.46
4,AZ,86.68,0.89,1458.75,0.00,0.06,0.83,2.24,8.02,21.01,27.19,29.46,32.14,40.08,62.32,94.21,110.21,114.79,117.39,120.16,122.10,124.49,133.34,145.46,155.18,167.23,181.90,214.76,266.78,273.03,277.08
5,CA,91.31,0.36,5988.02,0.01,0.31,1.33,2.91,6.05,13.26,17.77,20.35,23.01,29.38,51.80,79.20,88.02,90.25,91.88,93.02,93.70,95.72,102.96,111.00,116.16,120.17,124.18,172.11,209.13,213.70,215.78
6,CO,85.25,0.93,1452.97,0.00,0.19,2.11,4.17,5.36,7.34,9.53,11.35,15.42,32.74,53.63,65.61,72.48,77.85,85.26,92.78,96.05,98.24,103.06,112.27,121.88,138.07,150.23,196.46,224.79,231.02,236.73
7,CT,91.25,0.90,976.00,0.00,0.25,6.57,11.29,12.80,13.46,14.39,15.67,18.15,28.33,45.47,64.90,76.00,82.92,92.64,96.70,97.46,98.03,101.84,107.00,111.01,114.59,126.34,178.15,199.18,204.18,208.19
8,DC,96.85,1.47,142.00,0.00,0.33,5.00,11.49,14.30,16.51,19.18,21.22,23.38,28.07,37.69,48.54,55.69,61.18,66.23,68.91,69.77,70.35,74.88,83.10,89.23,92.98,99.00,172.68,188.20,190.75,190.75
9,DE,92.81,1.46,312.00,0.00,0.12,3.53,8.99,11.12,14.13,16.97,19.70,23.91,31.54,51.86,73.06,85.92,93.90,104.07,110.61,112.22,113.01,117.77,129.75,142.75,151.51,166.12,226.94,258.89,264.30,265.92
10,FL,87.22,0.51,4222.00,0.00,0.09,1.42,2.36,4.81,18.13,27.79,31.84,35.41,42.89,55.81,73.83,85.97,93.16,101.02,106.92,107.59,115.47,133.96,158.73,168.48,170.79,172.76,232.44,266.92,271.20,272.97
11,GA,82.67,0.93,1663.98,0.00,0.12,1.99,3.62,6.01,13.34,21.95,27.08,30.86,35.94,45.88,62.35,72.63,76.76,79.48,81.50,82.38,83.31,91.55,107.71,114.33,116.73,119.35,149.10,171.32,174.10,176.26
12,HI,93.10,1.41,325.00,0.00,0.06,0.42,0.45,0.57,1.04,4.47,8.07,10.02,11.84,13.18,16.88,18.50,19.64,21.49,23.17,25.36,26.45,35.44,50.55,56.19,58.68,61.35,110.07,158.79,163.75,167.46
13,IA,74.73,1.35,1041.56,0.00,0.05,1.41,5.45,8.34,12.84,17.58,25.55,34.73,64.18,84.53,96.77,104.65,109.15,113.83,116.94,117.91,119.16,122.74,135.81,148.81,158.50,175.23,198.50,233.07,239.68,240.97
14,ID,70.38,2.03,507.02,0.00,0.07,1.04,1.47,2.46,9.36,16.60,21.21,31.14,50.22,72.72,87.73,94.37,98.93,103.65,106.72,108.56,110.16,117.69,134.03,154.49,168.17,175.17,190.08,224.98,246.17,249.02
15,IL,87.43,0.63,2764.00,0.00,0.15,3.11,8.68,10.87,13.17,17.22,21.76,28.03,50.04,71.03,84.94,92.22,96.30,102.91,108.13,109.58,110.64,116.03,125.21,131.65,137.66,151.62,204.34,236.66,240.65,244.00
16,IN,84.28,0.92,1554.00,0.00,0.07,2.02,4.66,6.37,8.85,12.67,17.00,23.04,42.37,69.45,88.94,97.39,101.11,105.81,110.05,112.05,113.45,120.28,137.54,148.56,157.37,174.52,212.40,247.85,251.31,251.79
17,KS,80.36,1.46,739.94,0.00,0.04,0.95,3.11,4.31,8.32,12.81,18.77,26.09,46.90,69.83,90.10,100.15,103.45,105.13,107.30,108.65,111.00,120.27,135.14,145.29,154.40,169.39,213.25,259.58,263.90,264.64
18,KY,85.76,1.18,872.99,0.00,0.04,0.83,1.91,3.16,5.63,9.64,13.86,20.37,34.07,54.24,74.07,87.91,94.15,97.93,101.63,103.71,105.13,116.88,144.27,162.03,170.77,183.70,218.31,273.31,290.01,294.76
19,LA,83.55,1.18,987.00,0.00,0.38,5.61,7.96,11.10,21.86,30.42,34.68,38.11,46.54,61.46,79.95,90.67,94.52,97.43,100.38,102.62,106.60,135.82,153.17,161.61,164.50,167.35,214.21,260.16,264.47,265.37
20,MA,93.04,0.70,1314.00,0.00,0.24,7.28,13.40,15.55,16.59,18.00,19.42,22.13,29.55,46.23,65.69,77.38,83.66,91.63,95.23,96.06,96.46,100.01,106.68,112.44,118.73,133.56,191.03,220.02,224.34,229.73
21,MD,94.11,0.76,958.00,0.00,0.07,2.75,7.80,10.71,13.37,17.12,19.94,22.70,29.29,41.49,54.62,61.86,66.00,72.23,75.55,76.36,76.78,79.66,85.23,90.92,94.67,98.03,145.72,160.50,166.57,168.50
22,ME,84.91,1.59,506.00,0.00,0.10,0.72,1.48,2.23,2.78,3.21,3.80,4.48,7.53,14.09,26.00,32.06,35.93,42.81,49.33,51.15,51.68,54.23,61.44,72.69,82.66,98.85,118.64,142.50,173.06,177.89
23,MI,86.80,0.66,2594.00,0.00,0.23,3.56,5.12,6.39,8.02,10.10,12.38,16.13,30.94,47.58,56.03,60.84,66.45,85.56,95.46,97.04,97.60,100.49,107.51,119.15,134.11,157.00,195.01,228.45,233.21,235.97
24,MN,85.63,0.97,1311.02,0.00,0.05,0.52,3.64,5.92,8.62,12.19,16.09,22.22,45.46,70.37,79.41,84.38,89.33,98.80,105.62,107.07,107.64,111.51,120.30,133.85,150.07,172.19,201.21,244.55,252.13,254.62
25,MO,78.68,1.12,1343.00,0.00,0.18,1.20,2.06,3.48,7.83,13.01,19.98,28.94,49.52,67.49,83.19,89.62,92.42,95.15,97.60,99.94,106.43,119.53,129.45,136.94,142.20,154.66,189.23,223.78,228.91,230.02
26,MS,84.88,1.46,605.21,0.00,0.13,1.82,4.45,7.69,16.15,25.96,31.43,38.00,47.18,65.30,85.72,97.28,101.70,103.90,106.14,107.50,109.81,131.82,158.29,167.26,171.12,175.00,213.24,260.98,266.10,267.47
27,MT,75.65,2.18,386.93,0.00,0.06,0.42,0.45,0.70,2.72,5.96,9.76,23.12,49.85,72.11,84.08,91.80,96.35,100.30,103.85,105.88,107.28,113.16,129.58,154.07,173.26,181.89,198.43,240.12,254.38,255.49
28,NC,86.43,0.73,2191.00,0.00,0.05,0.74,2.21,5.19,10.18,14.65,18.53,23.89,31.28,45.69,65.04,79.46,85.36,90.52,94.73,96.31,97.53,107.36,125.98,137.95,143.64,150.73,190.59,240.71,249.08,251.64
29,ND,62.99,3.13,238.23,0.00,0.06,0.98,3.10,4.36,7.04,12.77,23.93,44.83,93.88,118.14,126.06,129.97,133.21,138.84,143.51,145.06,145.67,149.17,162.78,185.38,203.84,220.22,252.26,306.46,313.99,315.08
30,NE,81.55,1.79,469.31,0.00,0.03,1.09,6.18,9.26,12.26,16.36,21.32,31.03,57.34,80.38,93.77,101.51,105.74,111.03,114.06,114.36,114.54,115.57,117.52,140.88,153.00,166.34,196.10,228.93,244.18,245.02
31,NH,86.33,1.57,478.00,0.00,0.10,1.26,3.04,4.10,4.65,5.22,5.84,7.28,12.16,26.37,42.37,52.42,58.28,66.63,71.58,72.74,73.25,75.93,83.24,93.52,107.28,130.87,168.75,205.98,215.19,219.69
32,NJ,90.72,0.74,1546.00,0.00,0.39,11.45,17.22,19.02,19.95,21.27,22.50,25.09,33.41,48.58,71.42,85.29,94.95,110.36,113.86,114.84,115.64,119.70,126.72,132.66,137.26,148.11,220.17,240.80,245.35,249.68
33,NM,90.12,1.35,490.07,0.00,0.05,1.20,3.09,4.75,8.20,10.86,12.55,17.71,35.61,60.44,76.98,84.88,88.45,91.27,94.12,95.56,96.71,103.21,114.05,123.44,138.65,156.90,187.63,235.68,242.73,244.64
34,NV,87.57,1.38,573.98,0.00,0.10,1.41,2.56,4.54,12.96,21.12,24.68,29.87,41.85,64.31,84.15,92.19,95.99,100.95,104.45,106.77,111.39,121.63,132.70,143.18,149.87,156.26,185.95,218.60,223.61,230.22
35,NY,91.79,0.48,3269.00,0.00,1.69,13.96,18.58,20.00,21.06,22.06,23.16,25.11,30.06,43.59,64.67,79.97,91.16,102.26,106.55,107.63,108.44,112.88,120.22,127.53,134.04,146.84,226.60,250.06,253.40,258.95
36,OH,84.17,0.71,2661.00,0.00,0.06,1.30,2.73,3.95,6.86,9.77,12.42,16.08,26.12,53.28,71.52,81.05,85.52,90.24,93.55,94.83,95.50,99.65,113.58,127.09,137.60,154.63,197.42,224.89,227.89,229.40
37,OK,79.17,1.30,971.06,0.00,0.04,0.76,1.52,2.79,7.07,13.29,19.67,28.01,42.25,65.90,90.53,105.25,109.37,112.14,114.05,114.96,116.73,126.41,147.69,158.57,164.40,172.25,193.31,252.12,258.14,261.59
38,OR,88.89,1.03,922.01,0.00,0.06,0.52,0.93,1.72,3.72,5.86,7.35,9.59,14.74,23.78,31.88,35.97,38.17,41.63,46.66,48.91,50.26,58.27,72.97,82.69,90.12,95.63,121.72,159.92,166.05,167.04
39,PA,84.96,0.64,3100.00,0.00,0.09,3.02,5.29,6.46,8.15,10.03,11.78,14.55,23.10,43.40,60.71,70.77,76.90,86.65,92.96,94.52,95.03,97.95,106.63,117.69,128.75,145.12,187.60,212.84,216.43,218.24
40,RI,91.95,1.67,266.00,0.00,0.10,5.26,11.84,14.11,15.68,18.06,20.18,24.73,37.42,64.00,86.54,105.38,113.83,123.15,130.27,132.48,133.05,136.17,145.12,154.02,160.22,174.07,241.63,302.71,311.02,318.58
41,SC,83.17,1.00,1398.00,0.00,0.08,0.98,1.96,5.16,14.82,21.62,26.83,32.31,39.07,53.10,76.59,96.15,104.96,110.71,114.49,115.65,116.88,130.06,158.15,171.69,176.52,181.36,223.96,277.95,284.68,285.62
42,SD,62.34,3.05,251.91,0.00,0.05,2.30,5.15,7.18,9.20,12.59,21.33,39.61,80.34,107.08,119.55,125.32,130.58,136.99,139.97,140.61,141.01,142.94,156.96,168.81,179.53,195.27,223.72,262.30,267.34,268.32
43,TN,82.72,0.99,1465.99,0.00,0.10,1.24,2.88,5.16,12.19,20.18,26.38,33.56,46.77,72.28,96.37,106.64,112.06,117.16,120.68,122.31,123.31,135.15,164.55,177.52,182.49,189.06,215.97,271.71,282.26,283.78
44,TX,88.55,0.47,4511.01,0.00,0.03,0.79,1.91,4.15,12.45,19.77,24.09,28.93,40.31,54.55,73.63,88.78,94.61,98.04,100.93,102.54,104.47,115.67,133.94,143.54,147.20,151.23,181.74,220.25,225.25,228.56
45,UT,78.84,1.53,710.21,0.00,0.10,1.18,2.62,5.74,11.26,15.22,20.08,30.56,53.12,78.01,101.41,113.23,118.18,121.79,124.76,126.92,130.08,137.01,148.33,159.19,172.63,184.00,222.97,265.55,273.58,274.56
46,VA,88.98,0.73,1854.45,0.00,0.05,1.45,4.25,6.91,9.52,13.13,16.53,19.77,24.99,35.95,52.85,65.38,70.60,75.81,78.65,79.49,80.19,85.05,96.42,105.79,110.84,117.89,158.33,187.77,194.03,197.03
47,VT,89.02,2.14,213.00,0.00,0.20,1.32,1.52,1.86,2.20,2.48,2.74,3.15,5.53,10.31,16.53,22.66,28.12,35.42,38.41,39.01,39.31,42.27,49.52,59.35,72.07,90.62,124.26,151.80,182.00,189.52
48,WA,90.81,0.67,1886.99,0.00,0.34,1.69,2.59,3.85,6.54,9.24,10.80,13.07,18.26,29.06,38.15,43.41,46.39,50.61,55.49,58.39,60.21,67.71,80.79,91.07,98.95,104.38,136.50,184.82,188.76,192.84
