Fips,County,st_postal,Days,Rates
1001,Autauga County,AL,Apr_14_2022,281.9
1003,Baldwin County,AL,Apr_14_2022,248.8
1005,Barbour County,AL,Apr_14_2022,229.2
1007,Bibb County,AL,Apr_14_2022,287.0
1009,Blount County,AL,Apr_14_2022,258.6
1011,Bullock County,AL,Apr_14_2022,228.1
1013,Butler County,AL,Apr_14_2022,259.9
1015,Calhoun County,AL,Apr_14_2022,284.9
1017,Chambers County,AL,Apr_14_2022,254.9
1019,Cherokee County,AL,Apr_14_2022,195.4
1021,Chilton County,AL,Apr_14_2022,249.3
1023,Choctaw County,AL,Apr_14_2022,162.8
1025,Clarke County,AL,Apr_14_2022,302.3
1027,Clay County,AL,Apr_14_2022,308.3
1029,Cleburne County,AL,Apr_14_2022,238.6
1031,Coffee County,AL,Apr_14_2022,259.3
1033,Colbert County,AL,Apr_14_2022,295.3
1035,Conecuh County,AL,Apr_14_2022,237.1
1037,Coosa County,AL,Apr_14_2022,277.9
1039,Covington County,AL,Apr_14_2022,251.3
1041,Crenshaw County,AL,Apr_14_2022,275.8
1043,Cullman County,AL,Apr_14_2022,292.9
1045,Dale County,AL,Apr_14_2022,261.7
1047,Dallas County,AL,Apr_14_2022,225.7
1049,DeKalb County,AL,Apr_14_2022,262.2
1051,Elmore County,AL,Apr_14_2022,286.7
1053,Escambia County,AL,Apr_14_2022,273.4
1055,Etowah County,AL,Apr_14_2022,281.2
1057,Fayette County,AL,Apr_14_2022,305.5
1059,Franklin County,AL,Apr_14_2022,314.4
1061,Geneva County,AL,Apr_14_2022,246.1
1063,Greene County,AL,Apr_14_2022,230.7
1065,Hale County,AL,Apr_14_2022,321.9
1067,Henry County,AL,Apr_14_2022,265.7
1069,Houston County,AL,Apr_14_2022,242.5
1071,Jackson County,AL,Apr_14_2022,291.0
1073,Jefferson County,AL,Apr_14_2022,280.5
1075,Lamar County,AL,Apr_14_2022,269.9
1077,Lauderdale County,AL,Apr_14_2022,260.0
1079,Lawrence County,AL,Apr_14_2022,232.7
1081,Lee County,AL,Apr_14_2022,228.9
1083,Limestone County,AL,Apr_14_2022,251.7
1085,Lowndes County,AL,Apr_14_2022,268.4
1087,Macon County,AL,Apr_14_2022,213.8
1089,Madison County,AL,Apr_14_2022,239.6
1091,Marengo County,AL,Apr_14_2022,274.9
1093,Marion County,AL,Apr_14_2022,273.3
1095,Marshall County,AL,Apr_14_2022,282.6
1097,Mobile County,AL,Apr_14_2022,273.8
1099,Monroe County,AL,Apr_14_2022,254.1
1101,Montgomery County,AL,Apr_14_2022,242.0
1103,Morgan County,AL,Apr_14_2022,301.1
1105,Perry County,AL,Apr_14_2022,234.5
1107,Pickens County,AL,Apr_14_2022,263.7
1109,Pike County,AL,Apr_14_2022,225.4
1111,Randolph County,AL,Apr_14_2022,223.7
1113,Russell County,AL,Apr_14_2022,173.6
1115,St. Clair County,AL,Apr_14_2022,282.3
