"Name","ID","Abbr","Alt_Abbr","Alias","L2_ID","L2_ID_Name","regID","regName","Key","Xoffset","Yoffset","Scale","Rotate","DoAdj","MapL","MapX","MapY"
"Adair","072","Adair","Adair","Adair",1,"L2_1",1,"RegN1","Adair",NA,NA,NA,NA,FALSE,NA,NA,NA
"Allen","008","Allen","Allen","Allen",2,"L2_2",2,"RegN2","Allen",NA,NA,NA,NA,FALSE,NA,NA,NA
"Anderson","016","Anderson","Anderson","Anderson",3,"L2_3",3,"RegN3","Anderson",NA,NA,NA,NA,FALSE,NA,NA,NA
"Ballard","115","Ballard","Ballard","Ballard",4,"L2_4",4,"RegN4","Ballard",NA,NA,NA,NA,FALSE,NA,NA,NA
"Barren","007","Barren","Barren","Barren",5,"L2_5",5,"RegN5","Barren",NA,NA,NA,NA,FALSE,NA,NA,NA
"Bath","052","Bath","Bath","Bath",6,"L2_6",6,"RegN6","Bath",NA,NA,NA,NA,FALSE,NA,NA,NA
"Bell","044","Bell","Bell","Bell",7,"L2_7",7,"RegN7","Bell",NA,NA,NA,NA,FALSE,NA,NA,NA
"Boone","098","Boone","Boone","Boone",8,"L2_8",8,"RegN8","Boone",NA,NA,NA,NA,FALSE,NA,NA,NA
"Bourbon","027","Bourbon","Bourbon","Bourbon",9,"L2_9",9,"RegN9","Bourbon",NA,NA,NA,NA,FALSE,NA,NA,NA
"Boyd","047","Boyd","Boyd","Boyd",10,"L2_10",10,"RegN10","Boyd",NA,NA,NA,NA,FALSE,NA,NA,NA
"Boyle","020","Boyle","Boyle","Boyle",11,"L2_11",11,"RegN11","Boyle",NA,NA,NA,NA,FALSE,NA,NA,NA
"Bracken","033","Bracken","Bracken","Bracken",12,"L2_12",12,"RegN12","Bracken",NA,NA,NA,NA,FALSE,NA,NA,NA
"Breathitt","066","Breathitt","Breathitt","Breathitt",13,"L2_13",13,"RegN13","Breathitt",NA,NA,NA,NA,FALSE,NA,NA,NA
