


PUBLICATION INFORMATION FOR NAME TABLE IN BORDER GROUP : 
     KY_countiesBG   2025-08-15 16:27:18 

                     Name  ID         Abbr     Alt_Abbr        Alias
ADAIR               ADAIR 072        ADAIR        ADAIR        ADAIR
ALLEN               ALLEN 008        ALLEN        ALLEN        ALLEN
ANDERSON         ANDERSON 016     ANDERSON     ANDERSON     ANDERSON
BALLARD           BALLARD 115      BALLARD      BALLARD      BALLARD
BARREN             BARREN 007       BARREN       BARREN       BARREN
BATH                 BATH 052         BATH         BATH         BATH
BELL                 BELL 044         BELL         BELL         BELL
BOONE               BOONE 098        BOONE        BOONE        BOONE
BOURBON           BOURBON 027      BOURBON      BOURBON      BOURBON
BOYD                 BOYD 047         BOYD         BOYD         BOYD
BOYLE               BOYLE 020        BOYLE        BOYLE        BOYLE
BRACKEN           BRACKEN 033      BRACKEN      BRACKEN      BRACKEN
BREATHITT       BREATHITT 066    BREATHITT    BREATHITT    BREATHITT
BRECKINRIDGE BRECKINRIDGE 090 BRECKINRIDGE BRECKINRIDGE BRECKINRIDGE
BULLITT           BULLITT 080      BULLITT      BULLITT      BULLITT
BUTLER             BUTLER 003       BUTLER       BUTLER       BUTLER
CALDWELL         CALDWELL 109     CALDWELL     CALDWELL     CALDWELL
CALLOWAY         CALLOWAY 122     CALLOWAY     CALLOWAY     CALLOWAY
CAMPBELL         CAMPBELL 100     CAMPBELL     CAMPBELL     CAMPBELL
CARLISLE         CARLISLE 116     CARLISLE     CARLISLE     CARLISLE
CARROLL           CARROLL 101      CARROLL      CARROLL      CARROLL
CARTER             CARTER 048       CARTER       CARTER       CARTER
CASEY               CASEY 074        CASEY        CASEY        CASEY
CHRISTIAN       CHRISTIAN 113    CHRISTIAN    CHRISTIAN    CHRISTIAN
CLARK               CLARK 029        CLARK        CLARK        CLARK
CLAY                 CLAY 041         CLAY         CLAY         CLAY
CLINTON           CLINTON 077      CLINTON      CLINTON      CLINTON
CRITTENDEN     CRITTENDEN 107   CRITTENDEN   CRITTENDEN   CRITTENDEN
CUMBERLAND     CUMBERLAND 078   CUMBERLAND   CUMBERLAND   CUMBERLAND
DAVIESS           DAVIESS 060      DAVIESS      DAVIESS      DAVIESS
EDMONSON         EDMONSON 005     EDMONSON     EDMONSON     EDMONSON
ELLIOTT           ELLIOTT 049      ELLIOTT      ELLIOTT      ELLIOTT
ESTILL             ESTILL 032       ESTILL       ESTILL       ESTILL
FAYETTE           FAYETTE 024      FAYETTE      FAYETTE      FAYETTE
FLEMING           FLEMING 036      FLEMING      FLEMING      FLEMING
FLOYD               FLOYD 014        FLOYD        FLOYD        FLOYD
FRANKLIN         FRANKLIN 017     FRANKLIN     FRANKLIN     FRANKLIN
FULTON             FULTON 118       FULTON       FULTON       FULTON
GALLATIN         GALLATIN 102     GALLATIN     GALLATIN     GALLATIN
GARRARD           GARRARD 022      GARRARD      GARRARD      GARRARD
GRANT               GRANT 104        GRANT        GRANT        GRANT
GRAVES             GRAVES 120       GRAVES       GRAVES       GRAVES
GRAYSON           GRAYSON 092      GRAYSON      GRAYSON      GRAYSON
GREEN               GREEN 073        GREEN        GREEN        GREEN
GREENUP           GREENUP 046      GREENUP      GREENUP      GREENUP
HANCOCK           HANCOCK 062      HANCOCK      HANCOCK      HANCOCK
HARDIN             HARDIN 093       HARDIN       HARDIN       HARDIN
HARLAN             HARLAN 045       HARLAN       HARLAN       HARLAN
HARRISON         HARRISON 026     HARRISON     HARRISON     HARRISON
HART                 HART 006         HART         HART         HART
HENDERSON       HENDERSON 057    HENDERSON    HENDERSON    HENDERSON
HENRY               HENRY 081        HENRY        HENRY        HENRY
HICKMAN           HICKMAN 117      HICKMAN      HICKMAN      HICKMAN
HOPKINS           HOPKINS 110      HOPKINS      HOPKINS      HOPKINS
JACKSON           JACKSON 038      JACKSON      JACKSON      JACKSON
JEFFERSON       JEFFERSON 082    JEFFERSON    JEFFERSON    JEFFERSON
JESSAMINE       JESSAMINE 023    JESSAMINE    JESSAMINE    JESSAMINE
JOHNSON           JOHNSON 011      JOHNSON      JOHNSON      JOHNSON
KENTON             KENTON 099       KENTON       KENTON       KENTON
KNOTT               KNOTT 069        KNOTT        KNOTT        KNOTT
KNOX                 KNOX 042         KNOX         KNOX         KNOX
LARUE               LARUE 094        LARUE        LARUE        LARUE
