"Abbr","Name","ID","L2_ID","L2_ID_Name","regID","regName","Xoffset","Yoffset","Scale","Rotate","Alt_Abbr","Alias","Key","DoAdj","MapL","MapX","MapY","CCode"
"AL","Alabama","01","2","South","2","South",0,0,NA,NA,"AL","Alabama","AL",FALSE,NA,NA,NA,3
"AK","Alaska","02","0","Offshore","0","Offshore",36.5,-36,0.3,0,"AK","Alaska","AK",TRUE,"AK",-1500088.38403907,-1309076.01282187,1
"AZ","Arizona","04","4","West","4","West",0,0,NA,NA,"AZ","Arizona","AZ",FALSE,NA,NA,NA,3
"AR","Arkansas","05","2","South","2","South",0,0,NA,NA,"AR","Arkansas","AR",FALSE,NA,NA,NA,3
"CA","California","06","4","West","4","West",0,0,NA,NA,"CA","California","CA",FALSE,NA,NA,NA,1
"CO","Colorado","08","4","West","4","West",0,0,NA,NA,"CO","Colorado","CO",FALSE,NA,NA,NA,1
"CT","Connecticut","09","1","Northeast","1","Northeast",0,0,NA,NA,"CT","Connecticut","CT",FALSE,NA,NA,NA,3
"DE","Delaware","10","2","South","2","South",0,0,NA,NA,"DE","Delaware","DE",FALSE,NA,NA,NA,1
"DC","District of Columbia","11","2","South","2","South",3.8,-2.15,4,0,"DC","District of Columbia","DC",TRUE,"DC",2530575.16170391,726.526251599589,1
"FL","Florida","12","2","South","2","South",0,0,NA,NA,"FL","Florida","FL",FALSE,NA,NA,NA,2
"GA","Georgia","13","2","South","2","South",0,0,NA,NA,"GA","Georgia","GA",FALSE,NA,NA,NA,1
"HI","Hawaii","15","0","Offshore","0","Offshore",52,6,1,0,"HI","Hawaii","HI",TRUE,"HI",-126032.79134396,-1483299.32236866,2
"ID","Idaho","16","4","West","4","West",0,0,NA,NA,"ID","Idaho","ID",FALSE,NA,NA,NA,1
"IL","Illinois","17","3","Midwest","3","Midwest",0,0,NA,NA,"IL","Illinois","IL",FALSE,NA,NA,NA,2
"IN","Indiana","18","3","Midwest","3","Midwest",0,0,NA,NA,"IN","Indiana","IN",FALSE,NA,NA,NA,4
"IA","Iowa","19","3","Midwest","3","Midwest",0,0,NA,NA,"IA","Iowa","IA",FALSE,NA,NA,NA,3
"KS","Kansas","20","3","Midwest","3","Midwest",0,0,NA,NA,"KS","Kansas","KS",FALSE,NA,NA,NA,3
"KY","Kentucky","21","2","South","2","South",0,0,NA,NA,"KY","Kentucky","KY",FALSE,NA,NA,NA,3
"LA","Louisiana","22","2","South","2","South",0,0,NA,NA,"LA","Louisiana","LA",FALSE,NA,NA,NA,2
"ME","Maine","23","1","Northeast","1","Northeast",0,0,NA,NA,"ME","Maine","ME",FALSE,NA,NA,NA,2
"MD","Maryland","24","2","South","2","South",0,0,NA,NA,"MD","Maryland","MD",FALSE,NA,NA,NA,4
"MA","Massachusetts","25","1","Northeast","1","Northeast",0,0,NA,NA,"MA","Massachusetts","MA",FALSE,NA,NA,NA,2
"MI","Michigan","26","3","Midwest","3","Midwest",0,0,NA,NA,"MI","Michigan","MI",FALSE,NA,NA,NA,2
"MN","Minnesota","27","3","Midwest","3","Midwest",0,0,NA,NA,"MN","Minnesota","MN",FALSE,NA,NA,NA,2
"MS","Mississippi","28","2","South","2","South",0,0,NA,NA,"MS","Mississippi","MS",FALSE,NA,NA,NA,1
"MO","Missouri","29","3","Midwest","3","Midwest",0,0,NA,NA,"MO","Missouri","MO",FALSE,NA,NA,NA,1
"MT","Montana","30","4","West","4","West",0,0,NA,NA,"MT","Montana","MT",FALSE,NA,NA,NA,2
"NE","Nebraska","31","3","Midwest","3","Midwest",0,0,NA,NA,"NE","Nebraska","NE",FALSE,NA,NA,NA,2
